,Symbol,Name,MarketCap,Sector,Industry
116,LYG,Lloyds Banking Group Plc,60021911382.7,Finance,Commercial Banks
117,CB,D/B/A Chubb Limited New,59786773863.5,Finance,Property-Casualty Insurers
118,STO,Statoil ASA,59755246710.2,Energy,Integrated oil Companies
119,MET,"MetLife, Inc.",59705035851.4,Finance,Life Insurance
120,UBS,UBS AG,59489630961.2,Finance,Major Banks
121,EPD,Enterprise Products Partners L.P.,59191071849.3,Public Utilities,Natural Gas Distribution
122,HDB,HDFC Bank Limited,59142709921.0,Finance,Commercial Banks
123,PNC,"PNC Financial Services Group, Inc. (The)",58934799220.7,Finance,Major Banks
124,EOG,"EOG Resources, Inc.",58222226993.0,Energy,Oil & Gas Production
125,FOX,"Twenty-First Century Fox, Inc.",57960561776.9,Consumer Services,Television Services
126,TLK,"PT Telekomunikasi Indonesia, Tbk",57872146937.7,Public Utilities,Telecommunications Equipment
127,DHR,Danaher Corporation,57784794937.7,Capital Goods,Industrial Machinery/Components
128,CL,Colgate-Palmolive Company,57525893330.9,Consumer Non-Durables,Package Goods/Cosmetics
129,NEE,"NextEra Energy, Inc.",57296399339.7,Public Utilities,Electric Utilities: Central
130,BBD,Banco Bradesco Sa,57255010774.7,Finance,Major Banks
131,SPG,"Simon Property Group, Inc.",57043536461.0,Consumer Services,Real Estate Investment Trusts
132,BBDO,Banco Bradesco Sa,56794757934.4,Finance,Major Banks
133,ADBE,Adobe Systems Incorporated,56008735926.0,Technology,Computer Software: Prepackaged Software
134,ING,"ING Group, N.V.",56001552712.8,Finance,Commercial Banks
135,CAT,"Caterpillar, Inc.",55646253559.3,Capital Goods,Construction/Ag Equipment/Trucks
136,E,ENI S.p.A.,55475839062.4,Energy,Oil & Gas Production
137,GD,General Dynamics Corporation,55127174136.5,Capital Goods,Marine Transportation
138,SCHW,The Charles Schwab Corporation,54803286060.9,Finance,Investment Bankers/Brokers/Service
139,CRM,Salesforce.com Inc,54746686000.0,Technology,Computer Software: Prepackaged Software
140,GM,General Motors Company,54211445057.9,Capital Goods,Auto Manufacturing
141,VALE,VALE S.A.,54007369224.5,Basic Industries,Precious Metals
142,HMC,"Honda Motor Company, Ltd.",53996414229.2,Capital Goods,Auto Manufacturing
143,DUK,Duke Energy Corporation,53296504537.9,Public Utilities,Power Generation
144,SMFG,Sumitomo Mitsui Financial Group Inc,52774606230.8,Finance,Commercial Banks
145,CNI,Canadian National Railway Company,52769040093.2,Transportation,Railroads
146,TMUS,"T-Mobile US, Inc.",52127216038.5,Public Utilities,Telecommunications Equipment
147,SU,Suncor Energy  Inc.,51772039044.2,Energy,Integrated oil Companies
148,OXY,Occidental Petroleum Corporation,51666784146.9,Energy,Oil & Gas Production
149,PUK,Prudential Public Limited Company,50923029252.3,Finance,Life Insurance
150,ABB,ABB Ltd,50728226848.8,Consumer Durables,Electrical Products
151,FDX,FedEx Corporation,49642685448.3,Transportation,Air Freight/Delivery Services
152,KMI,"Kinder Morgan, Inc.",49625457811.0,Public Utilities,Natural Gas Distribution
153,BMO,Bank Of Montreal,48851309684.7,Finance,Commercial Banks
154,TJX,"TJX Companies, Inc. (The)",48683947188.5,Consumer Services,Clothing/Shoe/Accessory Stores
155,HAL,Halliburton Company,48608148049.4,Energy,Oilfield Services/Equipment
156,F,Ford Motor Company,48429920000.0,Capital Goods,Auto Manufacturing
157,BIDU,"Baidu, Inc.",47631082860.6,Technology,"Computer Software: Programming, Data Processing"
158,BK,Bank Of New York Mellon Corporation (The),47601294677.4,Finance,Major Banks
159,SO,Southern Company (The),47578974754.0,Public Utilities,Electric Utilities: Central
160,BCS,Barclays PLC,47567472500.0,Finance,Commercial Banks
161,MON,Monsanto Company,47565656319.5,Basic Industries,Agricultural Chemicals
162,PYPL,"PayPal Holdings, Inc.",47433250958.0,Miscellaneous,Business Services
163,TEF,Telefonica SA,47413648347.4,Public Utilities,Telecommunications Equipment
164,MFG,"Mizuho Financial Group, Inc.",46416873960.0,Finance,Major Banks
165,SYK,Stryker Corporation,46102495520.2,Health Care,Medical/Dental Instruments
166,NGG,"National Grid Transco, PLC",45542386014.5,Public Utilities,Natural Gas Distribution
167,EXCU,Exelon Corporation,45507993777.1,Public Utilities,Power Generation
168,PRU,"Prudential Financial, Inc.",45390800000.0,Finance,Life Insurance
169,D,"Dominion Resources, Inc.",45032020479.2,Public Utilities,Electric Utilities: Central
170,ITW,Illinois Tool Works Inc.,44535481918.7,Technology,Industrial Machinery/Components
171,CSX,CSX Corporation,44107371764.1,Transportation,Railroads
172,AMT,American Tower Corporation (REIT),44091652306.6,Consumer Services,Real Estate Investment Trusts
173,BBVA,Banco Bilbao Viscaya Argentaria S.A.,43602325206.9,Finance,Commercial Banks
174,KMB,Kimberly-Clark Corporation,43340388584.3,Consumer Durables,Containers/Packaging
175,ADP,"Automatic Data Processing, Inc.",42974248919.2,Technology,EDP Services
176,QQQ,"PowerShares QQQ Trust, Series 1",42878245500.0,n/a,n/a
177,AET,Aetna Inc.,42672949000.0,Health Care,Medical Specialities
178,ESRX,Express Scripts Holding Company,42614677310.0,Health Care,Medical/Nursing Services
179,RTN,Raytheon Company,42523022070.0,Capital Goods,Industrial Machinery/Components
180,ANTM,"Anthem, Inc.",42357777322.8,Health Care,Medical Specialities
181,COF,Capital One Financial Corporation,42206194201.3,Finance,Major Banks
182,PSX,Phillips 66,42058654053.8,Energy,Integrated oil Companies
183,YHOO,Yahoo! Inc.,41771569822.0,Technology,EDP Services
184,BDX,"Becton, Dickinson and Company",41383598377.8,Health Care,Medical/Dental Instruments
185,AMX,"America Movil, S.A.B. de C.V.",41206974000.0,Public Utilities,Telecommunications Equipment
186,LVS,Las Vegas Sands Corp.,41130585256.5,Consumer Services,Hotels/Resorts
187,CME,CME Group Inc.,41027445345.9,Finance,Investment Bankers/Brokers/Service
188,ORAN,Orange,40938271058.6,Public Utilities,Telecommunications Equipment
189,AMOV,"America Movil, S.A.B. de C.V.",40836865220.0,Public Utilities,Telecommunications Equipment
190,AMOV,"America Movil, S.A.B. de C.V.",40836865220.0,Public Utilities,Telecommunications Equipment
191,TRP,TransCanada Corporation,40726240386.2,Public Utilities,Natural Gas Distribution
192,NOC,Northrop Grumman Corporation,40332258712.5,Capital Goods,Industrial Machinery/Components
193,TSLA,"Tesla Motors, Inc.",40149747338.8,Capital Goods,Auto Manufacturing
194,ENB,Enbridge Inc,39865353750.8,Energy,Natural Gas Distribution
195,JCI,Johnson Controls International plc,39810519462.5,Consumer Services,Other Consumer Services
196,SYT,Syngenta AG,39729617665.1,Basic Industries,Agricultural Chemicals
197,CUK,Carnival Corporation,39559740000.0,Consumer Services,Marine Transportation
198,BT,BT Group plc,39008057496.5,Public Utilities,Telecommunications Equipment
199,BCE,"BCE, Inc.",38955119655.4,Public Utilities,Telecommunications Equipment
200,LYB,LyondellBasell Industries NV,38743289852.6,Basic Industries,Major Chemicals
201,CHA,China Telecom Corp Ltd,38677402800.0,Public Utilities,Telecommunications Equipment
202,FOXA,"Twenty-First Century Fox, Inc.",38606121503.6,Consumer Services,Television Services
203,REGN,"Regeneron Pharmaceuticals, Inc.",38409118786.8,Health Care,Major Pharmaceuticals
204,APC,Anadarko Petroleum Corporation,38206465318.9,Energy,Oil & Gas Production
205,SNE,Sony Corp Ord,38182196102.4,Consumer Non-Durables,Consumer Electronics/Appliances
206,CI,Cigna Corporation,37904892514.3,Health Care,Medical Specialities
207,EMR,Emerson Electric Company,37880773527.5,Energy,Consumer Electronics/Appliances
208,MFC,Manulife Financial Corp,37829961335.0,Finance,Life Insurance
209,AMAT,"Applied Materials, Inc.",37712251794.0,Technology,Semiconductors
210,HPE,Hewlett Packard Enterprise Company,37608220480.2,Technology,Computer Manufacturing
211,RELX,RELX PLC,37408280000.0,Consumer Services,Publishing
212,BBT,BB&T Corporation,37284946630.9,Finance,Major Banks
213,BX,The Blackstone Group L.P.,37278009397.4,Finance,Investment Managers
214,PSA,Public Storage,36993074548.4,Consumer Services,Real Estate Investment Trusts
215,EBAY,eBay Inc.,35974872839.2,Miscellaneous,Business Services
216,VMW,"Vmware, Inc.",35884429949.1,Technology,Computer Software: Prepackaged Software
217,S,Sprint Corporation,35871274171.9,Public Utilities,Telecommunications Equipment
218,TGT,Target Corporation,35763150192.9,Consumer Services,Department/Specialty Retail Stores
219,LBTYB,Liberty Global plc,35721181012.2,Consumer Services,Television Services
220,GIS,"General Mills, Inc.",35595291762.6,Consumer Non-Durables,Packaged Foods
221,ECL,Ecolab Inc.,35213649473.0,Basic Industries,Package Goods/Cosmetics
222,TEVA,Teva Pharmaceutical Industries Limited,35210350000.0,Health Care,Major Pharmaceuticals
223,NSC,Norfolk Souther Corporation,35012632243.6,Transportation,Railroads
224,DAL,"Delta Air Lines, Inc.",34801538559.0,Transportation,Air Freight/Delivery Services
225,MMC,"Marsh & McLennan Companies, Inc.",34756182439.7,Finance,Specialty Insurers
226,RENX,RELX N.V.,34654044000.0,Consumer Services,Publishing
227,BAM,Brookfield Asset Management Inc,34186290064.9,Consumer Services,Building operators
228,CM,Canadian Imperial Bank of Commerce,34154655859.5,Finance,Commercial Banks
229,DE,Deere & Company,33952902518.8,Capital Goods,Industrial Machinery/Components
230,RBS,Royal Bank Scotland plc (The),33666615000.0,Finance,Commercial Banks
231,PX,"Praxair, Inc.",33661631488.5,Basic Industries,Major Chemicals
232,CNQ,Canadian Natural Resources Limited,33472998794.9,Energy,Oil & Gas Production
233,TRV,"The Travelers Companies, Inc.",33104208356.6,Finance,Property-Casualty Insurers
234,MAR,Marriott International,33050211964.8,Consumer Services,Hotels/Resorts
235,LBTYA,Liberty Global plc,32836499514.7,Consumer Services,Television Services
236,EXC,Exelon Corporation,32729932631.3,Public Utilities,Power Generation
237,BSX,Boston Scientific Corporation,32625782118.0,Health Care,Medical/Dental Instruments
238,NXPI,NXP Semiconductors N.V.,32596077261.5,Technology,Semiconductors
239,LUV,Southwest Airlines Company,32460468724.7,Transportation,Air Freight/Delivery Services
240,TRI,Thomson Reuters Corp,32414873492.6,Consumer Services,Publishing
241,ETN,"Eaton Corporation, PLC",32210727000.0,Technology,Industrial Machinery/Components
242,CS,Credit Suisse Group,31992756000.0,Finance,Investment Bankers/Brokers/Service
243,CAJ,"Canon, Inc.",31899387016.4,Miscellaneous,Industrial Machinery/Components
244,CTSH,Cognizant Technology Solutions Corporation,31821654958.8,Technology,EDP Services
245,LBTYK,Liberty Global plc,31721708060.0,Consumer Services,Television Services
246,MCK,McKesson Corporation,31658957008.8,Health Care,Other Pharmaceuticals
247,KR,Kroger Company (The),31370888463.2,Consumer Services,Food Chains
248,DCUC,"Dominion Resources, Inc.",31262312894.9,Public Utilities,Electric Utilities: Central
249,CCI,Crown Castle International Corporation,31246411292.3,Consumer Services,Real Estate Investment Trusts
250,INFY,Infosys Limited,31062007010.7,Technology,EDP Services
251,AEP,"American Electric Power Company, Inc.",31022080617.0,Public Utilities,Electric Utilities: Central
252,SPGI,S&P Global Inc.,30980587000.0,Finance,Finance: Consumer Services
253,PCG,Pacific Gas & Electric Co.,30790044997.7,Public Utilities,Power Generation
254,HCA,"HCA Holdings, Inc.",30709239972.0,Health Care,Hospital/Nursing Management
255,PXD,Pioneer Natural Resources Company,30661737506.8,Energy,Oil & Gas Production
256,WM,"Waste Management, Inc.",30577773489.5,Public Utilities,Environmental Services
257,INTU,Intuit Inc.,30212464437.3,Technology,Computer Software: Prepackaged Software
258,APD,"Air Products and Chemicals, Inc.",30153688735.7,Basic Industries,Major Chemicals
259,ATVI,"Activision Blizzard, Inc",30077845124.4,Technology,Computer Software: Prepackaged Software
260,SCCO,Southern Copper Corporation,29838435703.4,Basic Industries,Precious Metals
261,CCL,Carnival Corporation,29731920000.0,Consumer Services,Marine Transportation
262,SYF,Synchrony Financial,29716768476.0,Finance,Finance: Consumer Services
263,ALXN,"Alexion Pharmaceuticals, Inc.",29630510224.0,Health Care,Major Pharmaceuticals
264,HUM,Humana Inc.,29593602007.9,Health Care,Medical Specialities
265,VLO,Valero Energy Corporation,29590695295.8,Energy,Integrated oil Companies
266,STT,State Street Corporation,29446981501.5,Finance,Major Banks
267,STZ,Constellation Brands Inc,29379542298.8,Consumer Non-Durables,Beverages (Production/Distribution)
268,EL,"Estee Lauder Companies, Inc. (The)",29285915569.2,Consumer Non-Durables,Package Goods/Cosmetics
269,CRH,CRH PLC,29281805931.6,Capital Goods,Building Materials
270,AON,Aon plc,29248165093.8,Finance,Specialty Insurers
271,SE,Spectra Energy Corp,28944717015.4,Public Utilities,Oil & Gas Production
272,CHU,China Unicom (Hong Kong) Ltd,28497026485.2,Public Utilities,Telecommunications Equipment
273,SYY,Sysco Corporation,28467774633.5,Consumer Non-Durables,Food Distributors
274,SHW,Sherwin-Williams Company (The),28446492139.4,Consumer Services,RETAIL: Building Materials
275,DISH,DISH Network Corporation,28432244179.8,Consumer Services,Television Services
276,ETP,ENERGY TRANSFER PARTNERS,28347284726.2,Public Utilities,Natural Gas Distribution
277,DB,Deutsche Bank AG,28226083000.0,Finance,Major Banks
278,STI,"SunTrust Banks, Inc.",28044183663.6,Finance,Major Banks
279,CBS,CBS Corporation,27758801138.4,Consumer Services,Broadcasting
280,ALL,Allstate Corporation (The),27706892617.8,Finance,Property-Casualty Insurers
281,FMX,Fomento Economico Mexicano S.A.B. de C.V.,27538029373.9,Consumer Non-Durables,Beverages (Production/Distribution)
282,AFL,Aflac Incorporated,27399974188.3,Finance,Accident &Health Insurance
283,ZTS,Zoetis Inc.,27318816168.1,Health Care,Major Pharmaceuticals
284,MU,"Micron Technology, Inc.",27293108188.5,Technology,Semiconductors
285,EQIX,"Equinix, Inc.",27216925946.1,Consumer Services,Real Estate Investment Trusts
286,DFS,Discover Financial Services,27122795779.4,Finance,Finance: Consumer Services
287,ISRG,"Intuitive Surgical, Inc.",27007441607.2,Health Care,Industrial Specialties
288,PHG,Koninklijke Philips N.V.,26933256940.0,Energy,Consumer Electronics/Appliances
289,TTM,Tata Motors Ltd,26880205294.4,Capital Goods,Auto Manufacturing
290,NOK,Nokia Corporation,26670771404.8,Technology,Radio And Television Broadcasting And Communications Equipment
291,PPG,"PPG Industries, Inc.",26547361736.6,Basic Industries,Paints/Coatings
292,TEL,TE Connectivity Ltd.,26515696227.0,Consumer Non-Durables,Electronic Components
293,BHI,Baker Hughes Incorporated,26458450209.7,Energy,Metal Fabrications
294,BAX,Baxter International Inc.,26162548921.6,Health Care,Medical/Dental Instruments
295,ROST,"Ross Stores, Inc.",25964654850.7,Consumer Services,Clothing/Shoe/Accessory Stores
296,FIS,"Fidelity National Information Services, Inc.",25936566050.3,Miscellaneous,Business Services
297,JD,"JD.com, Inc.",25776879198.0,Consumer Services,Other Specialty Stores
298,PLD,"Prologis, Inc.",25606062160.0,Consumer Services,Real Estate Investment Trusts
299,HPQ,HP Inc.,25564711119.6,Technology,Computer Manufacturing
300,VIV,Telefonica Brasil S.A.,25499279777.5,Public Utilities,Telecommunications Equipment
301,SRE,Sempra Energy,25361183881.7,Public Utilities,Natural Gas Distribution
302,K,Kellogg Company,25230081363.5,Consumer Non-Durables,Packaged Foods
303,MTB,M&T Bank Corporation,25229511121.0,Finance,Major Banks
304,LUX,"Luxottica Group, S.p.A.",25226642070.0,Health Care,Ophthalmic Goods
305,FMS,Fresenius Medical Care Corporation,25201557743.0,Health Care,Hospital/Nursing Management
306,ADM,Archer-Daniels-Midland Company,25185243774.8,Consumer Non-Durables,Packaged Foods
307,MPC,Marathon Petroleum Corporation,25182062667.2,Energy,Integrated oil Companies
308,EA,Electronic Arts Inc.,25045707247.0,Technology,Computer Software: Prepackaged Software
309,GLW,Corning Incorporated,24931611967.8,Basic Industries,Telecommunications Equipment
310,WPZ,Williams Partners LP,24850481739.9,Public Utilities,Natural Gas Distribution
311,CMI,Cummins Inc.,24790290089.1,Energy,Industrial Machinery/Components
312,CHT,"Chunghwa Telecom Co., Ltd.",24335111239.0,Public Utilities,Telecommunications Equipment
313,AMTD,TD Ameritrade Holding Corporation,24314442029.0,Finance,Investment Bankers/Brokers/Service
314,FCX,"Freeport-McMoran, Inc.",24249600000.0,Basic Industries,Precious Metals
315,MT,ArcelorMittal,24150300000.0,Basic Industries,Steel/Iron Ore
316,IBN,ICICI Bank Limited,24119655951.1,Finance,Commercial Banks
317,CAH,"Cardinal Health, Inc.",24116769805.7,Health Care,Other Pharmaceuticals
318,PCAR,PACCAR Inc.,24057372908.7,Capital Goods,Auto Manufacturing
319,ORLY,"O&#39;Reilly Automotive, Inc.",24026205202.6,Consumer Services,Other Specialty Stores
320,SLF,Sun Life Financial Inc.,24009388960.8,Finance,Life Insurance
321,MNST,Monster Beverage Corporation,23879220000.0,Consumer Non-Durables,Beverages (Production/Distribution)
322,DVN,Devon Energy Corporation,23844744000.0,Energy,Oil & Gas Production
323,YUM,"Yum! Brands, Inc.",23807647498.6,Consumer Services,Restaurants
324,PPL,PPL Corporation,23752974938.8,Public Utilities,Electric Utilities: Central
325,ZBH,"Zimmer Biomet Holdings, Inc.",23737501566.7,Health Care,Industrial Specialties
326,ILMN,"Illumina, Inc.",23736102000.0,Capital Goods,Biotechnology: Laboratory Analytical Instruments
327,HCN,Welltower Inc.,23662441382.9,Consumer Services,Real Estate Investment Trusts
328,ADI,"Analog Devices, Inc.",23473351555.2,Technology,Semiconductors
329,INCY,Incyte Corporation,23410622093.4,Health Care,Biotechnology: Commercial Physical & Biological Resarch
330,KEP,Korea Electric Power Corporation,23380331684.3,Public Utilities,Electric Utilities: Central
331,EIX,Edison International,23328082349.6,Public Utilities,Electric Utilities: Central
332,AVB,"AvalonBay Communities, Inc.",23291841998.0,Consumer Services,Real Estate Investment Trusts
333,WY,Weyerhaeuser Company,23272094615.2,Consumer Services,Real Estate Investment Trusts
